Rank,Ticker,Probability,Close,Risk_Score,Conviction,Daily_Return_Pct,Return_5d,Return_20d,RSI_14,Vol_Ratio,Momentum_Pass,Setup_Count,Active_Setups,Sector
59,HPE,0.72217137,22.690000534057617,0.24535218262571343,0.3211791247948179,2.207206100353676,-3.896654182594894,3.3712972455453682,58.967393135304164,0.950944627196553,True,0,none,Technology
4,STX,0.92737174,425.989990234375,0.24198595014198107,0.47761963445416056,-1.2013876271633528,-0.7756491738175497,32.98888002434395,61.28332913377593,0.6996204905995085,True,0,none,Technology
78,HWM,0.66568244,250.2100067138672,0.23534951782793717,0.2825459480285645,2.2141482807260804,12.121349080417975,11.635298995349475,77.87072709800474,1.0694455507710185,True,0,none,Industrials
68,IBKR,0.6957804,74.75,0.23426103781914723,0.33424948030325385,2.3131706787300033,0.21451088613084757,1.4522254212708807,48.71245105978067,0.7318245463542283,True,0,none,Financial Services
133,ZTS,0.54875314,126.6500015258789,0.23358592523353633,0.19021621313489973,0.8038858175238861,-0.604298111859547,1.5252266835040773,56.63589067221433,0.8937513283318536,True,0,none,Healthcare
2,SNDK,0.9410332,626.5599975585938,0.21232801316080907,0.505699214627314,-0.5917880021548139,4.784678445939505,53.10331651600271,65.13820526302801,1.0693686304328212,True,0,none,Technology
123,HSIC,0.5645031,78.19000244140625,0.21110800497538737,0.2396109299593245,-0.3060026301615282,-1.919215699785437,0.14088192593741944,51.5974591453947,1.1834116393161234,True,1,Stealth_Accumulation,Healthcare
26,SMCI,0.821772,30.540000915527344,0.20122736353438767,0.43319359852741535,0.36148737840417944,-11.169284564534788,3.806936901186053,49.26719726958759,0.5684817684872882,True,0,none,Technology
113,APA,0.59205675,27.920000076293945,0.18858124215026462,0.255254584673956,3.7147102420724387,1.6751675424541368,8.364086700324558,65.51724623921068,0.8226231631564065,True,0,none,Energy
42,DDOG,0.77317446,125.19999694824219,0.18583810203770076,0.3901449569356854,-0.7373347541641873,12.09597476186235,3.590928608285071,41.51838713012888,0.850823836491179,True,0,none,Technology
147,HUBB,0.5268571,524.1199951171875,0.18299122555145983,0.19400245840395336,1.5697018098823845,4.033348117620239,8.264652863247512,68.24496110515342,1.0660906910111225,True,0,none,Industrials
73,SW,0.68370277,51.560001373291016,0.18268513174868511,0.29726670487869655,0.2722738415620096,16.81015425066519,18.993766892338027,74.90865169719198,1.1977287432964479,True,0,none,Consumer Cyclical
118,NXPI,0.5736332,244.42999267578125,0.1779853188461612,0.2674179969204785,0.9248896369770332,8.964864789120973,2.4434142594851105,57.44656747659082,0.5731175749978633,True,0,none,Technology
70,DOW,0.69258124,32.4900016784668,0.17248682223056974,0.2720140989347388,-0.4900454515608277,2.2341125754589575,16.284899990831892,66.61526972877711,0.6957783185021343,True,0,none,Basic Materials
74,LYB,0.6735159,57.61000061035156,0.16709211021052686,0.2578244828327498,-0.29421629030256247,4.555357905153756,13.22720008049252,66.2964758532047,0.5522703005953997,True,0,none,Basic Materials
108,CAT,0.597673,774.2000122070312,0.16206405088601736,0.22813840359449386,2.0981464401094607,6.609749269229659,19.906583507946095,79.21983788624799,0.9637508730449085,True,0,none,Industrials
115,ETN,0.5802687,389.25,0.16066907331013142,0.18421494483947753,-0.2766855249194844,4.12765298097022,16.730645347130825,79.30256249264215,0.6584570236000444,True,0,none,Industrials
151,CSCO,0.52419597,76.8499984741211,0.15599016743873664,0.3136231845737974,2.4666646321614527,-9.39637025392428,2.1262438194300293,49.72007743652223,1.5557819135077153,True,0,none,Technology
