label,stop_loss,trailing_stop,vol_stop,regime_filter,dynamic_hold,partial_profit,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,score
Trail=7%+DynH,-7.0,7.0,False,none,True,False,177.25742004590163,40.56068866557363,0.9541262105162664,1.3703495465104187,0.9080918888262502,-44.66584182136034,43.47826086956522,8.732187860384863,-5.247771271917091,0.8304718290837588,1.2799848234348803,299,277257.4200459016,8.319524680073126,0.2859375
Regime=drawdown+Trail=5%,-7.0,5.0,False,drawdown,False,False,123.14216938406392,30.73135163493559,0.9257831453820828,1.149200216859588,0.9004215407739755,-34.129960516626284,50.56179775280899,8.448769173921429,-6.3008664160065,1.1568145002491939,1.3713648385238202,178,223142.16938406392,4.952760511882999,0.21875
Regime=momentum+Trail=5%,-7.0,5.0,False,momentum,False,False,186.21687406871862,42.0611283678056,1.0141393918393444,1.5412788935104922,0.8752021732714683,-48.0587567676882,48.828125,8.506066272228525,-5.9104959133401875,1.1288410913320357,1.3732308709123002,256,286216.87406871864,7.123071297989031,0.38125
Mix:sl=-7/t=5/v=True/r=None/d=False/p=False,-7.0,5,True,none,False,False,245.08861785899407,51.21575510295333,1.0888759485959794,1.7473270399633087,1.1508011008934904,-44.504437007567205,47.91666666666667,8.733293684170148,-5.893508568218902,1.1151675110508497,1.363301689720748,288,345088.61785899405,8.01345521023766,0.44531250000000006
Mix:sl=-7/t=5/v=True/r=drawdown/d=False/p=False,-7.0,5,True,drawdown,False,False,123.14216938406392,30.73135163493559,0.9257831453820828,1.149200216859588,0.9004215407739755,-34.129960516626284,50.56179775280899,8.448769173921429,-6.3008664160065,1.1568145002491939,1.3713648385238202,178,223142.16938406392,4.952760511882999,0.21875
Mix:sl=-7/t=5/v=False/r=None/d=True/p=False,-7.0,5,False,none,True,False,133.39352824908613,32.70660502700089,0.8283197150319203,1.2230982739649419,0.700303341253051,-46.7034827628825,43.037974683544306,8.584251456463688,-5.17055863598415,0.7492330493731469,1.2543864860324716,316,233393.5282490861,8.792541133455211,0.1890625
Mix:sl=-7/t=None/v=True/r=drawdown/d=True/p=False,-7.0,none,True,drawdown,True,False,121.97842625391621,30.503325802837477,0.9199689868806393,0.9323594658779415,0.6623042635827161,-46.056363336437855,43.39622641509434,9.984484670040263,-5.262823138361515,1.3539330803788792,1.4544991118108095,159,221978.42625391623,4.424095063985375,0.1890625
Mix:sl=-7/t=5/v=True/r=None/d=True/p=True,-7.0,5,True,none,True,True,105.94719436175679,27.277779959025892,0.789572004931206,1.1310626895270544,0.6035794052336304,-45.19335769660224,59.09090909090909,8.097071302072003,-5.1705642374818,2.669402217709084,2.2619909784245507,440,205947.1943617568,12.242778793418648,0.22734374999999998
Mix:sl=-5/t=5/v=True/r=None/d=True/p=False,-5.0,5,True,none,True,False,133.39352824908613,32.70660502700089,0.8283197150319203,1.2230982739649419,0.700303341253051,-46.7034827628825,43.037974683544306,8.584251456463688,-5.17055863598415,0.7492330493731469,1.2543864860324716,316,233393.5282490861,8.792541133455211,0.1890625
Mix:sl=-10/t=7/v=True/r=None/d=False/p=False,-10.0,7,True,none,False,False,727.0827334322834,102.45984455807564,1.7378173720659953,2.8264094016582195,3.128384759163558,-32.751676167055145,57.89473684210527,8.424909479292113,-6.526080780222322,2.1297556858123494,1.775070049566873,247,827082.7334322834,6.8726508226691045,0.8624999999999999
Mix:sl=-7/t=7/v=True/r=momentum/d=True/p=False,-7.0,7,True,momentum,True,False,312.81781138870065,60.53921626285836,1.2605286611552322,1.7742933580395834,1.3743455162795133,-44.04948795317781,43.28358208955223,9.685938826736331,-5.096825785976458,1.3016842702723617,1.4502949470825957,268,412817.8113887006,7.4569652650822675,0.5078125
Mix:sl=-5/t=3/v=True/r=None/d=True/p=True,-5.0,3,True,none,True,True,155.96790474796558,36.86093007181817,0.9828589470836115,1.4534377631239666,0.9395244912474946,-39.23360212023261,57.91583166332666,7.917841991366646,-4.503905885442624,2.6902527045330853,2.4193353541686977,499,255967.90474796557,13.884424131627057,0.39531249999999996
Mix:sl=-10/t=10/v=False/r=None/d=False/p=False,-10.0,10,False,none,False,False,545.1878613283174,86.34902718999284,1.5097855701532101,2.156293581578189,2.0037367842430487,-43.09399711031052,57.01754385964912,8.322001054978871,-6.215261430065705,2.0735285833369046,1.7761745469244252,228,645187.8613283173,6.343985374771481,0.7234375000000001
