min_prob,max_prob,min_mom,tier_1,tier_2,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,tier_label,score
0.5,1.0,2,60,40,948.129013746212,119.12016411322455,1.4822075935542331,2.270819594325594,2.0197163287886526,-58.978660723443376,46.81647940074906,14.754579326084052,-8.044759270553422,2.6290883870483905,1.614490327140509,267,1048129.013746212,7.429140767824498,60/40,0.73
0.5,1.0,2,70,30,815.0864177069554,109.41126120141327,1.4120807675942835,2.1271299990137327,1.8557519564572953,-58.95791235499153,46.81647940074906,14.754574775945363,-8.044759222146332,2.629086282578245,1.6144898389654267,267,915086.4177069555,7.429140767824498,70/30,0.5792592592592593
0.55,0.85,-999,50,50,576.8458912349532,89.353247974934,1.4927405089903036,2.4455164593777963,2.295939691076215,-38.91794210546094,54.58333333333333,8.846147465595314,-6.426184510541255,1.9099633597666221,1.654420037973441,240,676845.8912349533,6.677879341864717,50/50,0.7
0.55,0.85,-999,60,40,577.8734355555878,89.44917411301694,1.4900680770009345,2.447569806580802,2.3159177752563047,-38.623639866971324,54.58333333333333,8.846147514260975,-6.4261856663488865,1.9099628614006623,1.6544197495125539,240,677873.4355555878,6.677879341864717,60/40,0.7074074074074074
0.55,0.85,-999,70,30,575.5416621521957,89.23135219194116,1.4819866568997457,2.429965204372544,2.306783723785171,-38.68214920708847,54.58333333333333,8.846148208511698,-6.426186406293959,1.909962904287462,1.654419688853713,240,675541.6621521958,6.677879341864717,70/30,0.6351851851851851
0.55,0.85,0,50,50,690.6609284533248,99.4384597140218,1.7183000720372092,2.5226030397470196,3.3293101635604967,-29.86758662571659,59.83263598326359,8.21911603675588,-7.080171664983401,2.073795453630477,1.7292035903077192,239,790660.9284533248,6.650054844606947,50/50,0.8466666666666667
0.55,0.85,0,60,40,704.3809497842726,100.58728254053979,1.7276967985181564,2.543283913585928,3.544941484872947,-28.374878110052897,59.83263598326359,8.219110770443194,-7.080169692729794,2.0737930948590657,1.729202964025613,239,804380.9497842726,6.650054844606947,60/40,0.8674074074074075
0.55,0.85,0,70,30,716.606126857113,101.59999032467488,1.7299916416021004,2.5537643324770376,3.726420926874053,-27.26476485572527,59.83263598326359,8.219111785729625,-7.080168610834872,2.0737941369003705,1.7292034418630542,239,816606.1268571131,6.650054844606947,70/30,0.8970370370370371
0.55,0.85,2,50,50,414.0679227232053,72.73723331818289,1.437896472330657,2.178338232785145,1.900029823811778,-38.28215347286487,56.611570247933884,8.336737545293325,-7.018626576794599,1.674286170007242,1.5497985880970933,242,514067.9227232053,6.733528336380256,50/50,0.47000000000000003
0.55,0.85,2,60,40,402.2019645705517,71.39567240684197,1.422749484347482,2.1655611757760496,1.898731225128246,-37.60177926289683,56.611570247933884,8.33674372063106,-7.018628330232456,1.67428890517375,1.5497993489109818,242,502201.9645705517,6.733528336380256,60/40,0.44925925925925925
0.55,0.85,2,70,30,386.690872342798,69.60976472733711,1.3938351998261458,2.133618889442487,1.8729138884307457,-37.16655910201023,56.611570247933884,8.336741010166747,-7.018629460101308,1.674286880504987,1.5497985955472913,242,486690.87234279804,6.733528336380256,70/30,0.3785185185185185
0.55,0.9,-999,50,50,300.1057970836375,58.87151407893854,1.087217130246235,1.718768762283413,0.9192661458450573,-64.0418602871745,48.8,10.630675506602792,-7.08994898322326,1.5577157678118543,1.4291164317552496,250,400105.7970836375,6.956124314442413,50/50,0.11222222222222222
0.55,0.9,-999,60,40,323.15610822382047,61.87045795187185,1.1141537218703874,1.7611039285137449,0.9784008151883724,-63.236310713784384,48.8,10.630675442333061,-7.089944221907702,1.5577181742417903,1.4291173828511967,250,423156.1082238205,6.956124314442413,60/40,0.1674074074074074
0.55,0.9,-999,70,30,335.86590494709515,63.47770907960728,1.1233121196824223,1.778414459094963,1.0084794815169464,-62.94397679179813,48.8,10.630673625721936,-7.089945871154214,1.5577164433213477,1.4291168062002022,250,435865.9049470951,6.956124314442413,70/30,0.197037037037037
0.55,0.9,0,50,50,724.8318300798344,102.27571912790027,1.5124885183753953,2.4289594425016325,1.8502292420015487,-55.27732283447213,53.38645418326693,10.785521387371933,-7.624596892309508,2.203912468157875,1.6201051151992218,251,824831.8300798343,6.983948811700183,50/50,0.7337037037037036
0.55,0.9,0,60,40,654.1685178083864,96.31674405035429,1.46087996768539,2.3180619306241383,1.7407727255721783,-55.329878872439096,53.38645418326693,10.785518614029428,-7.62459888508658,2.2039100586645937,1.6201042751792782,251,754168.5178083864,6.983948811700183,60/40,0.6088888888888888
0.55,0.9,0,70,30,583.590660375243,89.98114305479568,1.4025756972442243,2.18906988757665,1.5935345818531443,-56.466388667985676,53.38645418326693,10.785521210007797,-7.624599681693771,2.203911073238541,1.6201044958577613,251,683590.660375243,6.983948811700183,70/30,0.49111111111111116
0.55,0.9,2,50,50,283.91217960697213,56.69512406004724,1.0571596542168367,1.584528458478956,0.863396234614594,-65.6652435892948,50.199203187250994,10.586756158233438,-7.556458791104711,1.5512905460132431,1.4122289954206446,251,383912.17960697215,6.983948811700183,50/50,0.05703703703703703
0.55,0.9,2,60,40,276.35955639846685,55.659118753525135,1.0451776821995178,1.5559750553588294,0.8607888228236673,-64.66059651070412,50.199203187250994,10.586754454227046,-7.556460740233398,1.5512887199339958,1.4122284038401887,251,376359.5563984668,6.983948811700183,60/40,0.027777777777777776
