max_positions,picks_per_day,sizing,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,avg_win,avg_loss,avg_trade,profit_factor,n_trades,final_value,trades_per_month,avg_positions,max_positions_used,pct_fully_invested,score
4,1,Kelly,113.32906963168656,20.870092374429984,1.0552383868319848,1.7516515146007912,1.0548849470234043,-19.784235648939397,51.269841269841265,8.271636147121177,-6.464653211951437,1.0906189515096014,1.3462023259856069,630,213329.06963168658,13.135068493150687,3.8615537848605577,4,88.54581673306772,0.061397058823529416
4,1,Tiered,295.23565119796535,41.03153388776588,1.073646788664767,1.7910886707573543,1.124754409234583,-36.48043835248322,51.269841269841265,8.271760357943878,-6.464562428608717,1.0907268730682482,1.3462414465140018,630,395235.6511979653,13.135068493150687,3.8615537848605577,4,88.54581673306772,0.20404411764705882
4,2,Equal,435.3129383589654,52.1516606042185,1.235388154454316,2.017294077025812,1.20857588451482,-43.15133312887065,51.01088646967341,8.525930457467648,-6.255957618702092,1.2844145259070443,1.419094372951794,643,535312.9383589654,13.406109589041098,3.9820717131474104,4,98.40637450199203,0.48639705882352946
4,2,Prob,439.1798929486558,52.42588276945974,1.2386748597834563,2.0234684013004367,1.2139511053172005,-43.18615678986599,51.01088646967341,8.525928119447627,-6.255953553331671,1.2844153248512369,1.419094905985571,643,539179.8929486558,13.406109589041098,3.9820717131474104,4,98.40637450199203,0.5136029411764705
4,2,Kelly,153.04453189452266,26.144488420070246,1.2309772325131867,2.0067023399945008,1.0755377016303094,-24.308295637094083,51.01088646967341,8.525820734515126,-6.256044649925353,1.2843159194315317,1.419056368632154,643,253044.53189452266,13.406109589041098,3.9820717131474104,4,98.40637450199203,0.24448529411764708
4,2,Tiered,472.81437094298633,54.750931969848615,1.2711199399486646,2.085590655880153,1.2335824987621484,-44.38368088456915,51.01088646967341,8.525926849791784,-6.255951091894494,1.2844158830247885,1.4190952530085237,643,572814.3709429863,13.406109589041098,3.9820717131474104,4,98.40637450199203,0.5886029411764707
4,3,Equal,477.6609471187614,55.077458689652346,1.2844448750265614,2.0845673643050833,1.3783797453659101,-39.95811667635269,51.70807453416148,8.373089962958446,-6.250976679369992,1.3108465999706447,1.4342396456684703,644,577660.9471187614,13.42695890410959,3.997011952191235,4,99.7011952191235,0.6415441176470587
4,3,Prob,487.24816113464885,55.71737138746467,1.2931985227509373,2.1020484282892715,1.3916827892689092,-40.035970709054034,51.70807453416148,8.373087138228184,-6.250973918716916,1.3108464725295412,1.4342397952271937,644,587248.1611346488,13.42695890410959,3.997011952191235,4,99.7011952191235,0.6702205882352941
4,3,Kelly,161.1388195484246,27.142059268830355,1.2717309284788625,2.0590395799037364,1.2161518127167776,-22.317986114083364,51.70807453416148,8.37299143871078,-6.251064003230883,1.310753484605412,1.434202734008027,644,261138.8195484246,13.42695890410959,3.997011952191235,4,99.7011952191235,0.3878676470588235
4,3,Tiered,527.956279050206,58.35033394572644,1.329393865033491,2.1760277087797317,1.4064928071084815,-41.486407645187434,51.70807453416148,8.373088784834268,-6.250974110329184,1.3108472314245887,1.4342400333130167,644,627956.2790502061,13.42695890410959,3.997011952191235,4,99.7011952191235,0.7121323529411764
